rows/crime,rows/difference,rows/end_period1,rows/end_period2,rows/period1_count,rows/period2_count,rows/population,rows/sector,rows/start_period1,rows/start_period2
LESIONES POR ARMA DE FUEGO,2,2022-12,2023-12,1,3,9609,TEPEYAC,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,3,2022-12,2023-12,15,18,36811,TEZONCO,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,0,2022-12,2023-12,2,2,17800,TICOMAN,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,1,2022-12,2023-12,10,11,18974,TLACOTAL,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,2,2022-12,2023-12,1,3,16096,TLATELOLCO,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-4,2022-12,2023-12,7,3,27528,UNIVERSIDAD,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-1,2022-12,2023-12,5,4,24813,XOTEPINGO,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,8,2022-12,2023-12,6,14,31280,ZAPOTITLA,2022-01,2023-01
LESIONES POR ARMA DE FUEGO,-3,2022-12,2023-12,5,2,8502,ZARAGOZA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,22143,ABASTO-REFORMA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,31805,ALPES,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,-1,2022-12,2023-12,1,0,4441,ANGEL-ZONA ROSA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,-2,2022-12,2023-12,3,1,30506,ARAGON,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,3,3,22309,ARENAL,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,1,2022-12,2023-12,2,3,12999,ASTURIAS,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,1,1,9110,BUENAVISTA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,13501,CHAPULTEPEC,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,13900,CHURUBUSCO,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,23963,CLAVERIA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,9495,COAPA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,12135,CONGRESO,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,-3,2022-12,2023-12,4,1,15715,CONSULADO,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,10129,CORREDOR-CENTRO,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,-1,2022-12,2023-12,2,1,14705,COYOACAN,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,24009,CUAJIMALPA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,30453,CUAUTEPEC,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,20511,CUCHILLA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,11851,CUITLAHUAC,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,18589,CULHUACAN,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,-1,2022-12,2023-12,1,0,7971,DEL VALLE,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,24310,DINAMO,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,20452,EL YAQUI,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,1,2022-12,2023-12,0,1,32788,ESTRELLA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,38354,FUENTE,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,2,2022-12,2023-12,0,2,19129,GRANJAS,2022-01,2023-01
